8c, 260, 0, 0, 0
76, ffffffffffffffff, b49aafa030, b49aaf9f80, 1000
25, fffffffffffffffe, c, 8a337ff548, 4
f, 4f8, 1, 1b647e007e0, 4
17, 384, cadd08, 2, daf968
55, 425f8ff480, 80100080, 425f8ff4c0, 425f8ff488
25, fffffffffffffffe, c, 8a32fff508, 4
e, 88, 0, 0, 7ff6a8d8da20
53, 0, 0, 8a26f34000, 1
1ae, 18, 9, 3e53ff900, 4
34, 0, 932a0ff8b0, f5, 100
53, 0, 0, ee3fc8c000, 1
7, 4f8, 0, 0, 0
f, 4f8, 1, 1b647e007e0, 4
8c, 80, 10000, 0, 0
e, 88, 0, 0, 7ff6a8d8da20
1e0, 7ff745055220, 425fcffb70, 1, 0
1be, 1cc, 0, b13a7cf00, 30
36, 50, b13a7ce30, b0, 0
36, 4f, b13a7ce90, 20, b13a7ced8
36, 4f, b13a7ce90, 20, b13a7ced8
e, 328, 0, b13a7d140, 0
4, 398, 0, 0, 0
53, 0, 0, 8a26f36000, 1
4, 194, 0, 425f8ff1f8, 0
55, 425f8ff1f0, c0000000, 425f8ff218, 425f8ff208
4, 194, 0, 425f8ff088, 0
7, 4f8, 0, 0, 0
90, 9c, 80, 98, 162eb404938
8a, 4b0, 264a8f816c0, 3, db698fe440
8c, 4b0, 0, 264a8f816c0, db698fe450
24, fffffffffffffffe, 8, 1, db698fef88
131, ffffffffffffffff, 8, db698fef88, 5c
21, 788, c, db698fef78, 4
f, 788, 1, 264a6af07e0, 4
40, db698feef8, 100000, db698feea0, 0
4, 788, 0, db698fee68, 0
f, 788, 1, 264a6af07e0, 4
8c, 80, 10000, 0, 0
8c, 80, 10000, 0, 0
7, 4f8, 0, 0, 0
8, 4f8, 0, 0, 0
4, 2a0, 0, 0, 264a8823d80
8c, 4b0, 20000, 264a8f816c0, 264ae8fe508
89, 2fc, 0, a01cf7f3e8, 10
8c, 2fc, 0, 0, 0
1ae, 20, 9, a01cf7f260, 4
d, fffffffffffffffe, 2c, 20fc5ef8868, 8
26, a01cf7e380, 1000, a01cf7e330, a01cf7e320
19, 5bc, 18, a01cf7e378, 4
48, 425f8ff150, 1f0003, 0, 0
e, 294, 0, 1b648ca4a80, 1b647f07100
55, 425f8ff220, 80100080, 425f8ff260, 425f8ff228
7, 6b0, 0, 0, 0
f, 6b0, 1, 1b647e007e0, 4
4, 194, 0, 425f8ff178, 0
55, 425f8ff170, c0000000, 425f8ff198, 425f8ff188
4, 194, 0, 425f8ff008, 0
55, 425f8ff1a0, 80100080, 425f8ff1e0, 425f8ff1a8
7, 6b4, 0, 0, 0
f, 6b4, 1, 1b647e007e0, 4
7, 6b0, 0, 0, 0
7, 6b0, 0, 0, 0
43, 5a0c7f830, 5a0aed201, 5a0aed000, 5a0aed000
3c, ffffffffffffffff, fffffffffffffffe, ffffffffffffffff, 5a0c7f5c0
d, fffffffffffffffe, 5, 8cd5cfdd50, 8
f, aa8, 1, 1f813e407e0, 4
8c, b38, 20000, 1f8198e1270, 1f824e1f848
4, 1e8, 0, b7fb67d638, 2a6e8de7e20
1d3, c, 0, 0, b7fb2df710
4, 1e8, 0, b7fb67d668, 2a6e8de7c60
8c, 4b0, 20000, 2a6e71f1b60, 2a6e71af058
89, 1e0, 0, d6faaff518, 10
8c, 1e0, 0, 0, 0
25, b14, 1, 5a0c7f4f8, 20
25, b14, 14, 5a0c7f4b8, 4
17a, 80, 7fff2473fc50, 5a0c7f468, 0
1, 50, 5a0c7fc50, 0, 5a0c7fc00
1e3, 50, 1a30fa31160, 10, 5a0c7fa28
90, 60, 4c, 5c, 1a30fa045c8
1e3, 50, 1a30fa31160, 10, 5a0c7fa28
e, 4c, 0, 0, 0
1d0, 7fff273aef34, 0, be0fcff1e8, 0
1ae, 18, 9, d6faaff390, 4
86, 25c, 27a7f676750, 1, 1
f, 398, 1, 19cf1e207e0, 4
f, 328, 1, 19cf1e207e0, 4
1ae, 20, 9, b7fb87f3f8, 4
48, b13a7cea8, 1f0003, 0, 0
c7, b13a7c968, 1fffff, 0, ffffffffffffffff
43, be0fcff620, 1, be0fcff2c8, 0
52, 398, b13a7c9b0, b13a7c898, 0
1be, 1cc, 0, b13a7cf00, 30
f, 5bc, 0, a01cf7e2e8, 0
1e3, 20, 2a6e68c1130, 10, b7fb87f528
86, 500, 20fc5eaa570, 0, 0
24, fffffffffffffffe, 8, 0, a01cf7e2e0
24, fffffffffffffffe, 8, 1, a01cf7e290
21, 4f4, c, a01cf7e2b0, 4
f, 4f4, 1, 20fc5ba07e0, 4
29, a01cf7e1c8, 0, a01cf7e1b8, a01cf7e1a8
f, 5bc, 1, 20fc5ba07e0, 4
0, 27a7eb179b0, fffffffffffffffb, 2000000, d6faaff0c0
89, 260, 0, 3e5bff828, 10
1bd, 28, 47ec87f510, 0, 47ec87f540
48, be0fcff928, 1f0003, 0, 1
4, 1420, 0, 0, 7ffe03b0
8c, 260, 0, 0, 0
1ae, 18, 9, 3e5bff6a0, 4
100d, 601ee, 400, babe, 13dedc319d0
1ae, 18, 9, 3e5bff908, 4
1e3, 18, 13dea86b5f0, 10, 3e5bffa38
8c, 260, 410000, 13dea8c2b60, 0
1004, 3e60ff670, 0, 0, 0
89, 340, 0, 25f9c7f318, 10
d, fffffffffffffffe, 5, a01cf7e310, 8
1bd, 28, 47ec87f460, 0, 47ec87f468
1ae, 20, 9, a01cf7f4c8, 4
1e3, 20, 20fc5e933b0, 10, a01cf7f5f8
89, 104, 0, be0faff618, 10
8c, 104, 0, 0, 0
1ae, 20, 9, be0faff490, 4
d, fffffffffffffffe, 2c, 28546976058, 8
0, 2854699b420, 13e4, 20000, be0fafe930
8c, 104, 410000, 28546ccd270, 0
1e3, 18, 19283683f90, 10, 8eee2ff6e8
90, 2c, 18, 28, 1ed4ce30d68
e, ac, 0, 10, 80000000
3e, ac, 0, 47ec8ff928, 0
3e, 1ac, 0, 47ec8ff998, 0
34, 0, 47ec8ff9e0, 47ec8ff998, 0
1e3, 1c, 1ed4ce3a000, 10, 47ec87f5e8
1bd, 30, 8cd64ff810, 0, 8cd64ff840
90, 34, 20, 30, 1f814002558
1e3, 24, 1f814048380, 10, 8cd64ff8e8
60, 384, cadd10, 0, 3
10, 390, 1, cad9f0, 210
16, 390, 7, cadbb8, 4
1d, cadbf8, 2001f, cadc08, 0
60, 328, cadd10, 0, 3
60, 32c, cadd10, 0, 3
17, 384, cadd08, 2, daf968
60, 384, cadd10, 0, 3
17, 384, cadd08, 2, daf968
60, 384, cadd10, 0, 3
60, 328, cadd10, 0, 3
3000f, 3, 77658b80, 202, 77636b1c
3000f, 3, 77658b80, 202, 776365ec
3000f, 3, 77658b80, 202, 776365ec
3000f, 3, 77658b80, 212, 776365ec
70020, 7, 0, 212, 776365ec
3000f, 3, 77658b80, 206, 7763671c
7000e, 7, 0, 202, 776365ec
3000f, 3, 77658b80, 202, 776365dc
3000f, 3, 77658b80, 216, 776365ec
8c, 340, 0, 0, 0
84, 660, 1, 0, 5a0cff520
f, 660, 0, 5a0cff0c8, 0
82, 80, 0, 1a311e30000, 0
f, 74c, 0, 5a0cff0c8, 0
8c, 80, 10000, 0, 0
89, 21c, 0, 7ca47f7e8, 10
70020, 7, 0, 202, 776365ec
d, fffffffffffffffe, 2c, 196d5f32930, 8
d, fffffffffffffffe, 2c, 196d5c52fb0, 8
43, 4aba17f4a0, 4ab9f26201, 4ab9f26000, 4ab9f26000
1008, 80328, 87, 0, c
1056, 80328, 8, c0c0c, 0
12c2, ffffffff99010c23, 7ff68f5a39d8, 4, 47ec8ff7d0
1068, ffffffff99010c23, f00021, 47ec8ff850, 1
f, c80, 10, 8, 2
4, b50, 0, 86c3cff2f8, 24ab10710e0
f, b50, 10, 8, 2
f, 9dc, 10, 8, 2
17c, 20, 100010000, 10000, 1
8c, 21c, 0, 0, 0
d, fffffffffffffffe, 2c, 25f997f610, 8
d, fffffffffffffffe, 2c, 196d4c951c0, 8
d, fffffffffffffffe, 2c, 196d4c952d0, 8
1e3, 20, 196d63c2210, 10, 25fb57fb98
f, 8d4, 10, 8, 2
1e3, 20, 196d63c2210, 10, 25fb57fb98
1e3, 104, 24ab10fe940, 10, 86c3cff518
89, 64c, 0, 7ca47f660, 10
f, 64c, 64c, 15b14e1dda8, 0
1e3, 24, 15b14e0c330, 10, 7ca47f9f8
21, fffffffffffffffa, 1d, 7d2fe7ef10, 4
79, 1d0502a9cb8, 7d2fe7f0e8, 7d2fe7f0f8, 7d2fe7f170
89, 1e0, 0, 3b5d17f928, 10
8c, 1e0, 0, 0, 0
1054, ffffffff99010c23, 0, 12c, 8
89, 104, 0, be0f8ff728, 10
8c, 104, 0, 0, 0
89, 16b4, 0, be0f8ff5a0, 10
f, 16b4, 16b4, 28545c217c8, 0
1ae, 20, 9, be0f8ff530, 4
1e3, 20, 196d63c3b00, 10, 25f997f658
1006, ffffffff8b01092d, 0, 120, 8
f, 12cc, 1, 28545ac07e0, 4
f, 3b4, 1, 28545ac07e0, 4
83, 14d4, 0, 10, 14d4
84, 14d4, 0, 28545c0c070, 28546b56040
89, 14d4, 0, be0f8ff240, 10
f, 14d4, 14d4, be0f8ff1b0, c2
1ae, 20, 9, be0f8ff808, 4
1e3, 20, 285469df3d0, 10, be0f8ff938
e, 4c, 0, 0, 0
1d0, 7fff273aef34, 0, 259b17f458, 0
1010, 7fff24bb1574, 0, 47ec8ff738, 0
61, 230, 0, 1, 1
4, 21c, 0, c416bff5c8, 0
4, 2ac, 0, c416bff5c8, 0
